match_id,date,map,team,result,discord_handle,riot_name,agent,team_avg_rank,acs,kills,deaths,assists,kd_ratio,econ,dd_delta,adr,hs_pct,kast_pct,first_kills,first_deaths,multi_kills,plants,defuses,notes
match_1,,,Team1,Win (93-87 kills),,ADG konjutsu,Waylay,,374,35,19,1,,89,,,,,8,,,0,1,BANNED - exclude from bot
match_1,,,Team1,Win (93-87 kills),@Jiroshima,Jiroshima,Tejo,,294,30,15,2,,69,,,,,1,,,2,2,
match_1,,,Team2,Loss (87-93 kills),@vixnvlr,john bigback,Chamber,,228,22,20,3,,54,,,,,4,,,0,1,
match_1,,,Team1,Win (93-87 kills),@paxeee,baobao,Neon,,226,20,18,4,,56,,,,,4,,,0,0,screenshot taker (highlighted row)
match_1,,,Team1,Win (93-87 kills),@uvz,buubz,Waylay,,206,21,16,1,,47,,,,,2,,,0,2,
match_1,,,Team2,Loss (87-93 kills),@bearably,Bear,Yoru,,187,16,17,9,,48,,,,,3,,,0,0,
match_1,,,Team1,Win (93-87 kills),@awde,Awde,Kay/O,,162,14,18,8,,37,,,,,2,,,4,1,
match_1,,,Team1,Win (93-87 kills),@skullmanjack.,skullmanjack,Clove,,111,8,21,7,,32,,,,,2,,,4,0,
match_1,,,Team2,Loss (87-93 kills),@szbread_19,BreadnCheese,Gekko,,111,9,19,3,,29,,,,,0,,,10,1,
match_1,,,Team2,Loss (87-93 kills),@enx0o,nzo,Omen,,74,5,18,10,,21,,,,,0,,,1,0,
match_2,,,Team1,Win (86-83 kills),@bearably,Bear,Chamber,,332,28,17,2,,97,,,,,5,,,0,0,
match_2,,,Team2,Loss (83-86 kills),,ADG konjutsu,Jett,,285,23,17,2,,73,,,,,1,,,0,0,BANNED - exclude from bot
match_2,,,Team2,Loss (83-86 kills),@.marz7.,Marz,Omen,,239,20,15,7,,51,,,,,2,,,0,0,
match_2,,,Team1,Win (86-83 kills),@paxeee,baobao,Neon,,235,20,17,5,,71,,,,,3,,,0,1,screenshot taker (highlighted row)
match_2,,,Team2,Loss (83-86 kills),@uvz,buubz,Phoenix,,213,17,18,5,,41,,,,,4,,,0,0,
match_2,,,Team1,Win (86-83 kills),@awde,Awde,Gekko,,204,14,20,5,,51,,,,,2,,,3,1,
match_2,,,Team2,Loss (83-86 kills),@vixnvlr,john bigback,Chamber,,192,17,19,2,,45,,,,,3,,,0,0,
match_2,,,Team1,Win (86-83 kills),@luvnochi,snomnom,Unknown,,180,13,17,12,,54,,,,,2,,,0,0,agent column unclear in screenshot
match_2,,,Team1,Win (86-83 kills),@szbread_19,BreadnCheese,Fade,,139,11,12,7,,49,,,,,1,,,2,0,
match_2,,,Team2,Loss (83-86 kills),@enx0o,nzo,Breach,,85,6,17,4,,21,,,,,0,,,6,0,
